GeoR,Operators,Domicile,Country,EconR,EntryTimes,dev_operator,Admin,Demographics,Geographic,HHI,Pop_mill,GDPcap,HDI,PopDen,Urbanization,GINI,EconGlob,SocialGlob,PoliticalGlob,OverallGlob,GIIInput,GIIOutput,GIIOverall,PR,CL,EthnicFrac,LinguisticFrac,ReligiousFrac,G3
5,Moov,Morocco,Benin,4,13.5,0,3.595,6.133,2.6141,4.924,7.062,1.34,0.395,60.89,38.333,38.2,30.72,20.98,60.77,35.41,30.28,18.13,24.21,2,2,0.787,0.791,0.554,1
5,Moov,Morocco,Ivory Coast,3,12.5,0,3.668,7.236,2.6719,4.942,16.276,2.76,0.395,52.473,43.541,41,38,32.84,66.23,43.88,28.01,26.04,27.02,5,4,0.82,0.784,0.755,1
4,Movistar (Telefónica),Spain,Panama,2,8.25,1,7.658,8.769,8.1855,5.087,3.086,7.12,0.721,40.763,62.198,52.03,80.45,60.63,60.74,67.7,40.73,20.82,30.77,1,2,0.553,0.387,0.334,1
4,Movistar (Telefónica),Spain,Costa Rica,2,11.25,1,6.846,10.711,8.4564,10,3.972,5.01,0.708,76.879,59.049,50.97,66.21,61.94,59.45,62.77,42.22,33.6,37.91,1,1,0.237,0.049,0.241,1
4,Movistar (Telefónica),Spain,Ecuador,2,8.75,1,7.827,9.068,8.7678,5.03,12.657,4.89,0.67,50.848,60.299,54.1,52,45.76,78.24,56.93,32.57,24.94,28.75,3,3,0.655,0.131,0.142,1
4,Movistar (Telefónica),Spain,Guatemala,3,5,1,6.846,11.769,8.6044,3.444,11.342,5.53,0.546,108.723,45.127,54.9,57.47,43.13,77.7,57.75,33.18,25.49,29.33,4,4,0.512,0.459,0.375,1
4,Movistar (Telefónica),Spain,Argentina,2,7,1,7.89,3.848,10.287,2.686,37.088,12.52,0.771,13.541,89.142,45.27,40.84,52.7,92.34,59.42,37.29,33.44,35.36,2,2,0.255,0.062,0.224,1
4,Movistar (Telefónica),Spain,Chile,1,7.5,1,3.383,7.913,10.4165,3.034,15.547,9.46,0.761,20.527,86.073,48.2,83.22,53.95,86.03,73.19,48.09,29.6,38.84,1,1,0.186,0.187,0.384,1
4,Movistar (Telefónica),Spain,Colombia,2,7.5,1,7.704,9.859,7.867,4.93,40.228,7.64,0.653,36.416,72.075,55.9,49.64,46.88,79.63,56.89,38.72,25.92,32.32,3,4,0.601,0.019,0.148,1
4,Movistar (Telefónica),Spain,Nicaragua,3,8.25,1,4.756,14.455,8.3329,10,5.139,2.06,0.57,41.772,54.737,45.73,59.02,44.98,56.79,53.22,31.13,20.44,25.78,4,3,0.484,0.047,0.429,1
4,Movistar (Telefónica),Spain,Peru,2,8.75,1,7.426,9.359,9.2427,5.293,26.186,4.98,0.677,20.246,73.042,47.96,74.14,43.41,84.1,65.54,39.06,21.63,30.34,2,3,0.657,0.336,0.199,1
4,Movistar (Telefónica),Spain,El Salvador,3,10.25,1,7.741,13.401,8.6074,3.583,5.972,5.19,0.615,283.187,58.912,45.93,63.93,52.99,77.57,63.65,34.6,23.67,29.14,2,3,0.198,0,0.356,1
4,Movistar (Telefónica),Spain,Uruguay,2,7,1,14.121,2.261,9.7296,0.00506,3.324,11.43,0.742,18.976,92.028,47,61.9,54.07,80.05,64.01,40.26,29.27,34.76,1,1,0.482,0.304,0.437,1
2,Movistar (Telefónica),Spain,Spain,1,4,1,0,0,0,4.212,40.52,24.95,0.825,81.298,76.262,33.38,80.62,83.4,91.44,84.63,52.43,35.19,43.81,1,1,0.417,0.413,0.451,1
4,Movistar (Telefónica),Spain,Venezuela,2,5.25,1,8.414,10.138,7.0737,4.962,24.639,10.55,0.672,27.763,87.98,52.36,57.05,51,65.41,57.12,29.48,25.35,27.41,5,4,0.497,0.069,0.135,1
4,Movistar (Telefónica),Spain,Mexico,2,8.25,1,13.791,9.825,9.0397,6.18,104.607,10.34,0.7,52.326,74.722,51.11,59.84,52.78,69.61,59.93,37.47,23.42,30.45,3,3,0.542,0.151,0.18,1
5,MTN,South Africa,Uganda,4,12.26,0,2.765,13.683,3.4469,8.105,24.682,1.09,0.396,120.311,12.082,44.2,48.66,22.76,71.86,45.49,29.86,22.87,26.37,5,4,0.93,0.923,0.633,1
5,MTN,South Africa,Nigeria,3,7.25,0,0.585,6.482,4.6698,10,124.441,1.28,0.445,134.339,34.84,42.97,52,19.82,87.95,50.03,27.72,28.58,28.15,4,4,0.851,0.832,0.742,1
5,MTN,South Africa,Rwanda,4,9,0,20.445,7.653,3.0725,10,8.578,0.99,0.332,325.322,14.926,51.34,31.31,24.02,67.15,38.5,34.73,17,25.86,6,6,0.324,0,0.507,1
5,MTN,South Africa,Ghana,3,8.5,0,0.828,5.272,4.9748,4.03,19.059,1.36,0.485,83.233,43.929,42.2,51.69,28.37,84.23,52.05,39.84,25.12,32.48,1,2,0.673,0.673,0.799,1
1,MTN,South Africa,Afghanistan,4,12.26,0,3.047,21.258,8.1459,10,20.972,0.33,0.34,30.778,21.282,27.8,34.5,16.49,43.73,30.4,23.03,16.25,19.64,6,6,0.769,0.614,0.272,1
5,MTN,South Africa,Benin,4,12.26,0,7.263,12.003,4.8814,4.924,7.062,1.34,0.395,60.89,38.333,38.2,30.72,20.98,60.77,35.41,30.28,18.13,24.21,2,2,0.787,0.791,0.554,1
5,MTN,South Africa,Ivory Coast,3,12.26,0,8.228,3.266,5.162,4.942,16.276,2.76,0.395,52.473,43.541,41,38,32.84,66.23,43.88,28.01,26.04,27.02,5,4,0.82,0.784,0.755,1
5,MTN,South Africa,Sudan,3,6.25,0,0.906,10.901,4.9408,10,28.082,1.55,0.399,14.635,32.495,35.39,42.7,20.76,52.87,37.4,26.06,14.65,20.36,7,7,0.715,0.719,0.431,1
1,MTN,South Africa,Iran,2,14.26,0,7.218,8.543,7.4516,10,66.384,8.05,0.666,40.603,64.042,44,24.94,24.57,47.14,30.92,33.24,19.04,26.14,6,6,0.668,0.746,0.115,1
5,MTN,South Africa,South Africa,2,4.75,0,0,0,0,5.236,45.18,8.44,0.629,37.01,56.891,64.79,64.88,44.77,83.53,62.6,46.37,24.07,35.22,2,2,0.752,0.865,0.86,1
5,MTN,South Africa,Swaziland,3,11.25,0,0.804,8.516,0.7894,10,1.069,6.59,0.506,61.713,22.686,53,57.22,42.2,35.3,45.63,36.93,18.11,27.52,7,5,0.058,0.172,0.444,1
1,MTN,South Africa,Syria,3,8.25,0,7.168,20.349,7.2753,5.002,16.536,2.45,0.589,89.296,51.947,35.8,41.16,28.45,50.72,39.1,39.75,26.14,32.94,7,7,0.54,0.182,0.431,1
1,MTN,South Africa,Cyprus,1,4.5,0,1.698,10.065,7.1875,5.305,0.952,5.19,0.8,102.087,68.648,31.1,88.07,77.35,59.05,76.11,52.38,40.52,46.45,1,1,0.094,0.396,0.396,1
1,MTS,Russia,India,3,9.25,0,13.883,5.61,4.812,1.706,1050.881,2.69,0.494,354.182,27.667,35.15,42.23,29.66,90.67,50.94,36.47,32.56,34.52,2,3,0.418,0.807,0.326,1
2,MTS,Russia,Russian Federation,2,8.25,0,0,0,0,2.03,146.467,8.31,0.72,8.949,73.35,41.54,52.21,69.35,91.71,69.43,40.79,30.91,35.85,6,5,0.245,0.249,0.44,1
1,MTS,Russia,Uzbekistan,3,8.5,0,11.782,11.453,3.2439,2.577,24.964,1.48,0.594,57.946,37.429,35,40.69,38.2,44.04,40.69,33.23,14.65,23.94,7,7,0.413,0.412,0.213,1
4,MTS,Russia,Canada,1,6.25,0,7.036,8.271,6.6168,2.341,30.842,31.47,0.867,3.384,79.478,31.7,78.76,90.72,93.21,87.16,64.41,48.26,56.33,1,1,0.712,0.577,0.696,1
2,MTS,Russia,Belarus,2,9.75,0,2.656,0.932,5.6027,10,9.951,12.19,0.681,49.199,69.973,28.3,39.33,58.11,38.71,46.09,37.72,28.13,32.93,7,6,0.322,0.467,0.612,1
2,O2,Spain,United Kingdom,1,4.5,1,6.089,1.117,1.5658,2.529,59.068,27.03,0.866,243.428,78.651,33.5,87.01,87.38,96.06,89.64,63.66,48.27,55.96,1,1,0.121,0.053,0.694,1
2,O2,Spain,Ireland,1,5,1,4.951,2.503,1.4788,5.213,3.835,31.39,0.857,55.236,59.146,33.6,95.71,76.26,87.36,86.23,65.53,42.67,54.1,1,1,0.121,0.031,0.155,1
2,O2,Spain,Czech Republic,1,4,1,20.514,2.312,1.8737,4.401,10.241,8.82,0.821,132.717,73.988,27.5,85.09,79.89,84.7,83.06,53.11,41.49,47.3,1,1,0.322,0.323,0.659,1
2,O2,Spain,Germany,1,4.25,1,11.92,0.245,1.5854,3.448,83.548,29.05,0.86,235.597,73.067,28.5,83.28,84.73,89.05,85.41,59.04,50.74,54.89,1,1,0.168,0.164,0.657,1
2,O2,Spain,Slovakia,1,11,1,10.369,5.094,2.0936,5.062,5.388,11.84,0.763,112.032,56.233,29.33,88.05,82.18,80.78,83.88,48.27,29.83,39.05,1,1,0.254,0.255,0.566,1
1,Ooredoo,Qatar,Kuwait,1,4.75,1,4.337,1.49,0.7022,5.899,1.943,36.15,0.786,115.081,98.113,39.73,59.96,81.92,55.86,66.94,42.44,30.85,36.64,4,5,0.66,0.344,0.675,1
1,Ooredoo,Qatar,Qatar,1,5.75,1,0,0,0,10,0.603,61.39,0.809,51.014,96.311,41.1,79.17,65.9,62.45,69.66,51.71,43.77,47.74,6,5,0.746,0.48,0.095,1
5,Ooredoo,Qatar,Algeria,2,13.26,1,7.743,20.777,4.7738,10,31.935,5.28,0.644,13.093,59.919,34,39.72,30.26,60.32,41.91,31.65,16.74,24.2,6,5,0.787,0.787,0.628,1
1,Ooredoo,Qatar,Oman,1,7.25,1,7.363,16.179,0.7724,10,2.216,23.75,0.705,7.328,71.569,39.73,76.05,58.81,43.36,60.67,46.23,24.79,35.51,6,5,0.437,0.357,0.432,1
2,Orange,France,Austria,1,3.5,1,15.887,0.947,0.8777,3.654,8.035,31.57,0.837,97.016,65.8,29.87,87.03,90.25,96.58,90.85,59.28,42.21,50.75,1,1,0.107,0.152,0.415,1
2,Orange,France,United Kingdom,1,4.25,1,9.48,0.488,0.9351,2.529,59.068,27.03,0.866,243.428,78.651,33.5,87.01,87.38,96.06,89.64,63.66,48.27,55.96,1,1,0.121,0.053,0.694,1
5,Orange,France,Madagascar,4,9.25,1,9.252,8.267,8.6339,4.96,15.99,0.97,0.387,27.112,27.121,40.63,43.99,20.66,65.32,41.26,31.2,19.63,25.41,5,4,0.879,0.02,0.519,1
5,Orange,France,Kenya,3,11,1,13.613,11.22,6.1162,5.259,31.706,1.94,0.447,55.26,19.892,48.1,40.4,25.63,83.2,46.75,39.24,19.05,29.15,4,4,0.859,0.886,0.777,1
5,Orange,France,Guinea,4,11.25,1,9.051,10.228,4.0593,5.302,8.821,3.24,0.322,35.848,31.017,39.17,21.75,72.17,41.84,39.29,25.14,15.35,20.25,3,5,0.739,0.773,0.265,1
4,Orange,France,Dominican Republic,2,9.5,1,9.23,7.913,7.1852,4.578,8.731,7.56,0.656,177.243,61.746,50,52.94,49.55,67.67,55.75,34.6,27.27,30.94,2,2,0.429,0.04,0.312,1
2,Orange,France,Netherlands,1,5.75,1,4.509,1.827,0.773,3.158,15.905,31.93,0.878,471.727,76.795,30.74,94.12,88.43,91.17,91.2,60.42,52.2,56.31,1,1,0.105,0.514,0.722,1
2,Orange,France,Slovakia,1,5.5,1,17.882,7.025,1.3501,5.062,5.388,11.84,0.763,112.032,56.233,29.33,88.05,82.18,80.78,83.88,48.27,29.83,39.05,1,1,0.254,0.255,0.566,1
2,Orange,France,Poland,1,5.5,1,8.289,5.47,1.4692,3.578,38.333,10.83,0.784,124.91,61.716,34.49,67.24,77.44,92.62,78.01,46.29,29.74,38.02,1,1,0.118,0.047,0.171,1
5,Orange,France,Egypt,3,8.25,1,8.399,8.155,3.2489,5.055,66.67,4.69,0.612,70.226,42.797,31.1,46.9,46.13,93.23,59.39,35.08,23.34,29.21,6,5,0.184,0.024,0.198,1
5,Orange,France,Senegal,4,10.5,1,9.569,8.229,3.8654,5.599,9.99,1.73,0.381,51.338,40.345,40.29,47.05,34.16,87.18,53.35,30.73,24.38,27.56,2,3,0.694,0.708,0.15,1
5,Orange,France,Ivory Coast,3,11.75,1,9.05,16.98,4.2834,4.942,16.276,2.76,0.395,52.473,43.541,41,38,32.84,66.23,43.88,28.01,26.04,27.02,5,4,0.82,0.784,0.755,1
2,Orange,France,Spain,1,4.25,1,3.385,0.714,0.827,4.212,40.52,24.95,0.825,81.298,76.262,33.38,80.62,83.4,91.44,84.63,52.43,35.19,43.81,1,1,0.417,0.413,0.451,1
5,Orange,France,Cameroon,3,14.5,1,36.37,9.704,4.5563,5.533,16.139,2.45,0.437,32.312,45.542,42.2,31.05,24.6,63.77,37.69,30.59,24.46,27.52,6,6,0.875,0.687,0.664,1
2,Orange,France,France,1,4.25,1,0,0,0,3.789,59.407,27.31,0.849,111.242,75.871,30.6,82.01,84.36,96.14,86.78,55.61,42.9,49.25,1,1,0.103,0.122,0.403,1
5,Orange,France,Mali,4,9.75,1,9.455,11.483,3.2761,6.224,10.412,1.11,0.297,8.989,28.356,39.9,45.33,22.38,75.33,45.13,29.85,22.85,26.35,5,4,0.691,0.839,0.182,1
5,Orange,France,Guinea-Bissau,4,14.75,1,16.398,11.004,4.1116,0.00495,1.288,1,0.388,44.212,36.654,45.61,33.44,21.05,37.56,30,25.14,15.35,20.25,4,4,0.757,0.773,0.34,1
2,Orange,France,Moldova,3,8.25,1,18.68,12.125,2.0618,4.698,4.074,2.42,0.597,126.74,45.803,35.4,65.82,54.04,64.58,61.13,38.4,38.92,38.66,3,3,0.554,0.553,0.56,1
5,Orange,France,Niger,4,11.25,1,8.848,15.395,3.3863,0.01,11.193,0.81,0.255,8.963,16.186,31.45,43.46,23.34,69.92,43.32,31.44,11.38,21.41,3,4,0.652,0.652,0.201,1
1,Orange,France,Jordan,2,9.5,1,5.829,10.196,3.364,6.8,4.801,4.33,0.706,57.832,79.808,36.2,63.85,58.1,80.89,66.42,40.29,32.13,36.21,4,4,0.299,0.295,0.604,1
2,Orange,France,Luxembourg,1,3.75,1,2.755,1.001,0.5205,5.138,0.438,63.39,0.854,168.456,84.216,30.25,99,80.79,59.08,81.27,63.93,41.37,52.65,1,1,0.53,0.644,0.091,1
5,Orange,France,Central African Republic,4,12.5,1,10.666,17.24,4.7097,5.588,3.671,0.31,0.314,6.027,37.639,48,27.79,14.69,38.42,25.88,30.63,14.23,22.43,7,7,0.83,0.833,0.792,1
2,Orange,France,Belgium,1,6.25,1,3.649,0.365,0.558,4.509,10.285,29.69,0.873,338.549,97.128,30.5,93.26,88.99,93.51,91.75,58.44,39.66,49.05,1,1,0.555,0.541,0.213,1
5,Orange,France,Botswana,2,9,1,13.564,24.42,7.8899,6.093,1.769,7.22,0.56,3.05,53.219,60.46,64.49,40.6,55.79,53.27,42.1,20.65,30.51,3,2,0.41,0.411,0.599,1
5,Orange,France,Liberia,4,11.75,1,7.345,11.16,4.5347,0.01,2.945,0.49,0.386,29.947,44.331,33.2,97.32,20.02,43.02,29.85,22.43,30.63,14.23,3,4,0.908,0.904,0.488,1
4,Personal (Telecom Argentina),Argentina,Argentina,2,6.75,0,0,0,0,2.686,37.088,12.52,0.771,13.541,89.142,45.27,40.84,52.7,92.34,59.42,37.29,33.44,35.36,2,2,0.255,0.062,0.224,1
4,Personal (Telecom Argentina),Argentina,Paraguay,2,7.5,0,3.201,1.812,1.3573,4.648,5.405,4.56,0.624,13.347,55.331,49.67,57.83,45.82,76.18,58.45,34.45,27.9,31.17,3,3,0.169,0.598,0.212,1
1,STC,Saudi Arabia,Bahrain,1,9.5,1,6.154,6.203,0.5686,10,0.683,20.6,0.794,936.076,88.372,39.73,87.09,68.5,39.79,67.19,52.73,22.87,37.8,5,5,0.502,0.434,0.553,1
1,STC,Saudi Arabia,Kuwait,1,8.25,1,10.349,22.988,0.5064,5.899,1.943,36.15,0.786,115.081,98.113,39.73,59.96,81.92,55.86,66.94,42.44,30.85,36.64,4,5,0.66,0.344,0.675,1
2,Tele2,Sweden,Sweden,1,3.75,1,0,0,0,3.961,8.88,27.17,0.877,21.621,84.026,25.4,86.07,86.52,95.51,88.84,64.85,59.4,62.12,1,1,0.06,0.197,0.234,1
1,Tele2,Sweden,Kazakhstan,2,10.75,1,29.914,16.436,3.5965,4.294,14.567,7.64,0.685,5.513,55.729,28.8,64.25,42.82,65.7,56.74,39.86,20.77,30.32,6,5,0.617,0.662,0.59,1
2,Tele2,Sweden,Russian Federation,2,13.75,1,26.045,14.293,4.2604,2.03,146.467,8.31,0.72,8.949,73.35,41.54,52.21,69.35,91.71,69.43,40.79,30.91,35.85,6,5,0.245,0.249,0.44,1
2,Tele2,Sweden,Lithuania,1,6.75,1,25.704,4.146,0.8425,5.346,3.48,8.57,0.757,55.832,66.986,34.44,76.41,65.33,71.24,70.89,47.46,29.52,38.49,1,1,0.322,0.322,0.414,1
2,Tele2,Sweden,Latvia,1,5.75,1,70.457,5.285,0.7916,5.602,2.358,8.12,0.728,38.066,68.067,36.4,77.04,68.32,47.77,65.75,47.46,32.14,39.8,1,1,0.587,0.58,0.556,1
2,Tele2,Sweden,Croatia,1,6,1,41.678,3.311,1.8743,5.01,4.461,7.56,0.749,79.163,55.587,30,70.5,70.44,78.17,72.59,45,30.96,37.98,2,2,0.369,0.076,0.445,1
2,Tele2,Sweden,Estonia,1,6.25,1,26.977,4.613,0.6881,4.219,1.361,10.4,0.781,32.956,69.368,33.5,89.73,71.3,65.76,76.32,54.86,43.5,49.18,1,1,0.506,0.494,0.499,1
2,Telekom Austria,Austria,Austria,1,2.5,1,0,0,0,3.654,8.035,31.57,0.837,97.016,65.8,29.87,87.03,90.25,96.58,90.85,59.28,42.21,50.75,1,1,0.107,0.152,0.415,1
2,Telekom Austria,Austria,Croatia,1,4.75,1,32.791,0.861,0.2932,5.01,4.461,7.56,0.749,79.163,55.587,30,70.5,70.44,78.17,72.59,45,30.96,37.98,2,2,0.369,0.076,0.445,1
2,Telekom Austria,Austria,Belarus,2,9.5,1,24.221,3.636,0.7834,10,9.951,12.19,0.681,49.199,69.973,28.3,39.33,58.11,38.71,46.09,37.72,28.13,32.93,7,6,0.322,0.467,0.612,1
2,Telekom Austria,Austria,Bulgaria,2,5,1,26.688,1.597,1.0336,6.483,7.968,6.37,0.713,73.851,68.899,33.8,63.93,56.17,84.51,66.74,44.2,32.64,38.42,2,2,0.402,0.303,0.597,1
2,Telekom Austria,Austria,Macedonia,2,10.25,1,27.232,3.25,0.9194,10,2.059,6.36,0.456,80.016,58.548,44.05,59.31,63.2,48.23,57.69,40.37,26.57,33.47,3,3,0.502,0.502,0.59,1
2,Telekom Slovenije,Slovenia,Macedonia,2,8,1,3.946,1.444,0.7469,10,2.059,6.36,0.456,80.016,58.548,44.05,59.31,63.2,48.23,57.69,40.37,26.57,33.47,3,3,0.502,0.502,0.59,1
2,Telenor,Norway,Sweden,1,3.75,1,9.507,0.914,0.2613,3.961,8.88,27.17,0.877,21.621,84.026,25.4,86.07,86.52,95.51,88.84,64.85,59.4,62.12,1,1,0.06,0.197,0.234,1
1,Telenor,Norway,Bangladesh,3,13.26,1,100.775,8.163,7.1589,5.006,133.556,1.79,0.468,1010.842,23.59,32.13,28.06,22.61,75.1,39.02,29.64,26.47,28.05,3,4,0.045,0.093,0.209,1
2,Telenor,Norway,Bulgaria,2,6.25,1,53.932,3.546,2.3337,6.483,7.968,6.37,0.713,73.851,68.899,33.8,63.93,56.17,84.51,66.74,44.2,32.64,38.42,2,2,0.402,0.303,0.597,1
2,Telenor,Norway,Hungary,1,5.75,1,25.817,3.902,1.7859,4.538,10.21,13.03,0.769,113.936,64.575,34.7,87.55,79.75,89.33,85.16,51.04,45.2,48.12,1,2,0.152,0.03,0.524,1
1,Telenor,Norway,Pakistan,3,13.75,1,36.452,7.465,5.55,3.473,145.345,2.7,0.45,179.695,33.155,30.5,33.82,34.3,83,47.56,25.44,22.57,24,4,5,0.71,0.719,0.385,1
1,Telenor,Norway,Thailand,2,8.75,1,25.71,13.155,8.549,3.718,62.706,7.06,0.649,123.232,31.391,39.75,67.54,50.54,79.25,64.49,43.33,31.93,37.63,6,5,0.634,0.634,0.099,1
2,Telia,Sweden,Sweden,1,3.75,1,0,0,0,3.961,8.88,27.17,0.877,21.621,84.026,25.4,86.07,86.52,95.51,88.84,64.85,59.4,62.12,1,1,0.06,0.197,0.234,1
2,Telia,Sweden,Estonia,1,5.25,1,26.977,4.613,0.9356,4.219,1.361,10.4,0.781,32.956,69.368,33.5,89.73,71.3,65.76,76.32,54.86,43.5,49.18,1,1,0.506,0.494,0.499,1
5,Tigo (Millicom),Luxembourg,Tanzania,4,10.5,1,21.264,8.558,6.8032,4.1,34.458,0.68,0.391,38.584,22.309,40.28,38.82,18.38,55.17,35.78,30.45,31.93,26.88,4,3,0.735,0.898,0.633,1
5,Tigo (Millicom),Luxembourg,Chad,4,14.01,1,3.498,10.476,4.0399,6.184,8.461,3.83,0.3,6.625,21.637,39.8,28.31,13.73,35.18,24.82,30.63,14.23,22.43,7,6,0.83,0.833,0.792,1
5,Tigo (Millicom),Luxembourg,Rwanda,4,9.25,1,17.851,11.344,6.1972,10,8.578,0.99,0.332,325.322,14.926,51.34,31.31,24.02,67.15,38.5,34.73,17,25.86,6,6,0.324,0,0.507,1
5,Tigo (Millicom),Luxembourg,Ghana,3,7,1,9.001,7.399,4.7098,4.03,19.059,1.36,0.485,83.233,43.929,42.2,51.69,28.37,84.23,52.05,39.84,25.12,32.48,1,2,0.673,0.673,0.799,1
4,Tigo (Millicom),Luxembourg,Guatemala,3,8,1,6.496,8.377,9.1599,3.444,11.342,5.53,0.546,108.723,45.127,54.9,57.47,43.13,77.7,57.75,33.18,25.49,29.33,4,4,0.512,0.459,0.375,1
4,Tigo (Millicom),Luxembourg,Colombia,2,7.5,1,7.298,5.957,8.83,4.93,40.228,7.64,0.653,36.416,72.075,55.9,49.64,46.88,79.63,56.89,38.72,25.92,32.32,3,4,0.601,0.019,0.148,1
4,Tigo (Millicom),Luxembourg,El Salvador,3,8,1,7.337,10.018,9.208,3.583,5.972,5.19,0.615,283.187,58.912,45.93,63.93,52.99,77.57,63.65,34.6,23.67,29.14,2,3,0.198,0,0.356,1
4,Tigo (Millicom),Luxembourg,Paraguay,2,8,1,10.286,6.426,10.2688,4.648,5.405,4.56,0.624,13.347,55.331,49.67,57.83,45.82,76.18,58.45,34.45,27.9,31.17,3,3,0.169,0.598,0.212,1
4,Tigo (Millicom),Luxembourg,Honduras,3,8,1,7.104,9.533,8.9397,10,6.3,3.06,0.557,58.31,45.458,51.56,65.44,44.58,69.24,58.79,33.08,22.53,27.81,4,4,0.187,0.055,0.236,1
4,Tigo (Millicom),Luxembourg,Bolivia,3,8,1,6.732,5.888,10.1707,4.907,8.582,3.35,0.607,7.698,61.834,49.7,55.95,34.24,76.98,53.73,30.37,20.51,25.44,3,3,0.74,0.224,0.209,1
